62,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,RAD,BYTE0,8,NONE,0,NONE,0,0,0,Byte 1,None
1,RAD,BYTE1,8,NONE,0,NONE,0,0,0,Byte 2,None
2,RAD,BYTE2,8,NONE,0,NONE,0,0,0,Byte 3,None
3,RAD,BYTE3,8,NONE,0,NONE,0,0,0,Byte 4,None
4,RAD,BYTE4,8,NONE,0,NONE,0,0,0,Byte 5,None
5,RAD,BYTE5,8,NONE,0,NONE,0,0,0,Byte 6,None
6,RAD,BYTE6,8,NONE,0,NONE,0,0,0,Byte 7,None
7,RAD,BYTE7,8,NONE,0,NONE,0,0,0,Byte 8,None
8,RAD,BYTE8,8,NONE,0,NONE,0,0,0,Byte 9,None
9,RAD,BYTE9,8,NONE,0,NONE,0,0,0,Byte 10,None
10,RAD,BYTE10,8,NONE,0,NONE,0,0,0,Byte 11,None
11,RAD,BYTE11,8,NONE,0,NONE,0,0,0,Byte 12,None
12,RAD,BYTE12,8,NONE,0,NONE,0,0,0,Byte 13,None
13,RAD,BYTE13,8,NONE,0,NONE,0,0,0,Byte 14,None
14,RAD,BYTE14,8,NONE,0,NONE,0,0,0,Byte 15,None
15,RAD,BYTE15,8,NONE,0,NONE,0,0,0,Byte 16,None
16,RAD,BYTE16,8,NONE,0,NONE,0,0,0,Byte 17,None
17,RAD,BYTE17,8,NONE,0,NONE,0,0,0,Byte 18,None
18,RAD,BYTE18,8,NONE,0,NONE,0,0,0,Byte 19,None
19,RAD,BYTE19,8,NONE,0,NONE,0,0,0,Byte 20,None
20,RAD,BYTE20,8,NONE,0,NONE,0,0,0,Byte 21,None
21,RAD,BYTE21,8,NONE,0,NONE,0,0,0,Byte 22,None
22,RAD,BYTE22,8,NONE,0,NONE,0,0,0,Byte 23,None
23,RAD,BYTE23,8,NONE,0,NONE,0,0,0,Byte 24,None
24,RAD,BYTE24,8,NONE,0,NONE,0,0,0,Byte 25,None
25,RAD,BYTE25,8,NONE,0,NONE,0,0,0,Byte 26,None
26,RAD,BYTE26,8,NONE,0,NONE,0,0,0,Byte 27,None
27,RAD,BYTE27,8,NONE,0,NONE,0,0,0,Byte 28,None
28,RAD,BYTE28,8,NONE,0,NONE,0,0,0,Byte 29,None
29,RAD,BYTE29,8,NONE,0,NONE,0,0,0,Byte 30,None
30,RAD,BYTE30,8,NONE,0,NONE,0,0,0,Byte 31,None
31,RAD,BYTE31,8,NONE,0,NONE,0,0,0,Byte 32,None
32,RAD,BYTE32,8,NONE,0,NONE,0,0,0,Byte 33,None
33,RAD,BYTE33,8,NONE,0,NONE,0,0,0,Byte 34,None
34,RAD,BYTE34,8,NONE,0,NONE,0,0,0,Byte 35,None
35,RAD,BYTE35,8,NONE,0,NONE,0,0,0,Byte 36,None
36,RAD,BYTE36,8,NONE,0,NONE,0,0,0,Byte 37,None
37,RAD,BYTE37,8,NONE,0,NONE,0,0,0,Byte 38,None
38,RAD,BYTE38,8,NONE,0,NONE,0,0,0,Byte 39,None
39,RAD,BYTE39,8,NONE,0,NONE,0,0,0,Byte 40,None
40,RAD,BYTE40,8,NONE,0,NONE,0,0,0,Byte 41,None
41,RAD,BYTE41,8,NONE,0,NONE,0,0,0,Byte 42,None
42,RAD,BYTE42,8,NONE,0,NONE,0,0,0,Byte 43,None
43,RAD,BYTE43,8,NONE,0,NONE,0,0,0,Byte 44,None
44,RAD,BYTE44,8,NONE,0,NONE,0,0,0,Byte 45,None
45,RAD,BYTE45,8,NONE,0,NONE,0,0,0,Byte 46,None
46,RAD,BYTE46,8,NONE,0,NONE,0,0,0,Byte 47,None
47,RAD,BYTE47,8,NONE,0,NONE,0,0,0,Byte 48,None
48,RAD,BYTE48,8,NONE,0,NONE,0,0,0,Byte 49,None
49,RAD,BYTE49,8,NONE,0,NONE,0,0,0,Byte 50,None
50,RAD,BYTE50,8,NONE,0,NONE,0,0,0,Byte 51,None
51,RAD,BYTE51,8,NONE,0,NONE,0,0,0,Byte 52,None
52,RAD,BYTE52,8,NONE,0,NONE,0,0,0,Byte 53,None
53,RAD,BYTE53,8,NONE,0,NONE,0,0,0,Byte 54,None
54,RAD,BYTE54,8,NONE,0,NONE,0,0,0,Byte 55,None
55,RAD,BYTE55,8,NONE,0,NONE,0,0,0,Byte 56,None
56,RAD,BYTE56,8,NONE,0,NONE,0,0,0,Byte 57,None
57,RAD,BYTE57,8,NONE,0,NONE,0,0,0,Byte 58,None
58,RAD,pad1,104,NONE,0,NONE,0,0,0,Byte 59,None
59,RAD,pad2,5,NONE,0,NONE,0,0,0,Byte 60,None
60,RAD,exp1BoardNum,3,NONE,0,NONE,0,0,0,Byte 61,None
61,RAD,pad3,48,NONE,0,NONE,0,0,0,Byte 62,None
