85,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,sci,0,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
1,sci,1,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
2,sci,2,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
3,sci,3,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
4,sci,4,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
5,sci,5,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
6,sci,6,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
7,sci,7,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
8,sci,8,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
9,sci,9,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
10,sci,10,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
11,sci,11,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
12,sci,12,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
13,sci,13,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
14,sci,14,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
15,sci,15,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
16,sci,16,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
17,sci,17,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
18,sci,18,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
19,sci,19,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
20,sci,20,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
21,sci,21,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
22,sci,22,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
23,sci,23,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
24,sci,24,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
25,sci,25,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
26,sci,26,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
27,sci,27,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
28,sci,28,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
29,sci,29,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
30,sci,30,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
31,sci,31,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
32,sci,32,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
33,sci,33,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
34,sci,34,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
35,sci,35,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
36,sci,36,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
37,sci,37,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
38,sci,38,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
39,sci,39,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
40,sci,40,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
41,sci,41,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
42,sci,42,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
43,sci,43,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
44,sci,44,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
45,sci,45,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
46,sci,46,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
47,sci,47,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
48,sci,48,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
49,sci,49,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
50,sci,50,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
51,sci,51,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
52,sci,52,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
53,sci,53,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
54,sci,54,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
55,sci,55,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
56,sci,56,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
57,sci,57,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
58,sci,58,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
59,sci,59,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
60,sci,60,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
61,sci,61,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
62,sci,62,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
63,sci,63,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
64,sci,64,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
65,sci,65,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
66,sci,66,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
67,sci,67,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
68,sci,68,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
69,sci,69,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
70,sci,70,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
71,sci,71,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
72,sci,72,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
73,sci,73,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
74,sci,74,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
75,sci,75,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
76,sci,76,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
77,sci,77,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
78,sci,78,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
79,sci,79,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
80,sci,80,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
81,sci,81,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
82,sci,82,8,-,0,NONE,0,0,0,Data,Opaque CAN data from host experiment
83,sci,sparebits,7,-,0,NONE,0,0,0,Sparebits,Pad
84,sci,overflow,1,-,21,CAN Queue,1,1,0,Overflow,One or more CAN messages lost
